2025-12-29 16:14:15,267 | INFO | ============================================================
2025-12-29 16:14:15,267 | INFO | BIBLE STUDY APP QA MONITOR STARTING
2025-12-29 16:14:15,267 | INFO | Project: /home/jonathan/sandbox/bible-study-app
2025-12-29 16:14:15,267 | INFO | Check interval: 120s
2025-12-29 16:14:15,267 | INFO | ============================================================
2025-12-29 16:14:15,267 | INFO | ==================================================
2025-12-29 16:14:15,267 | INFO | Running health checks...
2025-12-29 16:14:15,267 | INFO | Checking file structure...
2025-12-29 16:14:15,271 | INFO | Running TypeScript check...
2025-12-29 16:14:18,616 | INFO | Running lint check...
2025-12-29 16:14:22,648 | INFO |   ✓ structure: Structure OK (1131 summaries)
2025-12-29 16:14:22,648 | INFO |   ✓ typescript: TypeScript OK
2025-12-29 16:14:22,648 | INFO |   ✗ lint: Lint errors:
ver used                @typescript-eslint/no-unused-vars
  261:13  warning  'playerNam
2025-12-29 16:14:22,648 | INFO | Attempting to fix lint issue...
2025-12-29 16:14:22,648 | INFO | Attempting to fix lint issue...
2025-12-29 16:18:35,260 | INFO | Claude completed fix attempt for lint
2025-12-29 16:18:35,260 | INFO | Fix attempted for lint
2025-12-29 16:18:35,260 | INFO | Next check in 120s...
2025-12-29 16:20:35,271 | INFO | ==================================================
2025-12-29 16:20:35,271 | INFO | Running health checks...
2025-12-29 16:20:35,271 | INFO | Checking file structure...
2025-12-29 16:20:35,277 | INFO | Running TypeScript check...
2025-12-29 16:20:36,832 | INFO | Running lint check...
2025-12-29 16:20:40,992 | INFO |   ✓ structure: Structure OK (1131 summaries)
2025-12-29 16:20:40,992 | INFO |   ✓ typescript: TypeScript OK
2025-12-29 16:20:40,993 | INFO |   ✗ lint: Lint errors:

   12:24  error    A `require()` style import is forbidden          @typescript-eslint
2025-12-29 16:20:40,993 | INFO | Attempting to fix lint issue...
2025-12-29 16:20:40,993 | INFO | Attempting to fix lint issue...
2025-12-29 16:22:37,562 | INFO | Claude completed fix attempt for lint
2025-12-29 16:22:37,562 | INFO | Fix attempted for lint
2025-12-29 16:22:37,562 | INFO | Next check in 120s...
2025-12-29 16:24:37,662 | INFO | ==================================================
2025-12-29 16:24:37,662 | INFO | Running health checks...
2025-12-29 16:24:37,662 | INFO | Checking file structure...
2025-12-29 16:24:37,666 | INFO | Running TypeScript check...
2025-12-29 16:24:38,939 | INFO | Running lint check...
2025-12-29 16:24:42,514 | INFO |   ✓ structure: Structure OK (1131 summaries)
2025-12-29 16:24:42,514 | INFO |   ✓ typescript: TypeScript OK
2025-12-29 16:24:42,514 | INFO |   ✗ lint: Lint errors:
                                                                                       
2025-12-29 16:24:42,514 | INFO | Attempting to fix lint issue...
2025-12-29 16:24:42,514 | INFO | Attempting to fix lint issue...
2025-12-29 16:26:59,383 | INFO | Claude completed fix attempt for lint
2025-12-29 16:26:59,383 | INFO | Fix attempted for lint
2025-12-29 16:26:59,383 | INFO | Next check in 120s...
2025-12-29 16:28:59,450 | INFO | ==================================================
2025-12-29 16:28:59,450 | INFO | Running health checks...
2025-12-29 16:28:59,450 | INFO | Checking file structure...
2025-12-29 16:28:59,453 | INFO | Running TypeScript check...
2025-12-29 16:29:00,977 | INFO | Running lint check...
2025-12-29 16:29:05,870 | INFO |   ✓ structure: Structure OK (1131 summaries)
2025-12-29 16:29:05,870 | INFO |   ✓ typescript: TypeScript OK
2025-12-29 16:29:05,870 | INFO |   ✗ lint: Lint errors:
                                                                                       
2025-12-29 16:29:05,870 | INFO | Attempting to fix lint issue...
2025-12-29 16:29:05,870 | INFO | Attempting to fix lint issue...
2025-12-29 16:33:33,959 | INFO | Claude completed fix attempt for lint
2025-12-29 16:33:33,959 | INFO | Fix attempted for lint
2025-12-29 16:33:33,959 | INFO | Next check in 120s...
2025-12-29 16:35:34,059 | INFO | ==================================================
2025-12-29 16:35:34,059 | INFO | Running health checks...
2025-12-29 16:35:34,060 | INFO | Checking file structure...
2025-12-29 16:35:34,064 | INFO | Running TypeScript check...
2025-12-29 16:35:36,673 | INFO | Running lint check...
2025-12-29 16:35:40,511 | INFO | Running build check...
2025-12-29 16:35:53,650 | INFO |   ✓ structure: Structure OK (1131 summaries)
2025-12-29 16:35:53,650 | INFO |   ✓ typescript: TypeScript OK
2025-12-29 16:35:53,650 | INFO |   ✓ lint: Lint OK
2025-12-29 16:35:53,650 | INFO |   ✓ build: Build OK
2025-12-29 16:35:53,650 | INFO | All checks passed!
2025-12-29 16:35:53,650 | INFO | Next check in 120s...
2025-12-29 16:37:53,750 | INFO | ==================================================
2025-12-29 16:37:53,750 | INFO | Running health checks...
2025-12-29 16:37:53,751 | INFO | Checking file structure...
2025-12-29 16:37:53,755 | INFO | Running TypeScript check...
2025-12-29 16:37:54,889 | INFO | Running lint check...
2025-12-29 16:37:58,150 | INFO | Running build check...
2025-12-29 16:38:09,502 | INFO |   ✓ structure: Structure OK (1131 summaries)
2025-12-29 16:38:09,502 | INFO |   ✓ typescript: TypeScript OK
2025-12-29 16:38:09,502 | INFO |   ✓ lint: Lint OK
2025-12-29 16:38:09,502 | INFO |   ✓ build: Build OK
2025-12-29 16:38:09,502 | INFO | All checks passed!
2025-12-29 16:38:09,502 | INFO | Next check in 120s...
2025-12-29 16:40:09,601 | INFO | ==================================================
2025-12-29 16:40:09,601 | INFO | Running health checks...
2025-12-29 16:40:09,601 | INFO | Checking file structure...
2025-12-29 16:40:09,605 | INFO | Running TypeScript check...
2025-12-29 16:40:10,928 | INFO | Running lint check...
2025-12-29 16:40:14,919 | INFO | Running build check...
2025-12-29 16:40:28,374 | INFO |   ✓ structure: Structure OK (1131 summaries)
2025-12-29 16:40:28,374 | INFO |   ✓ typescript: TypeScript OK
2025-12-29 16:40:28,374 | INFO |   ✓ lint: Lint OK
2025-12-29 16:40:28,374 | INFO |   ✓ build: Build OK
2025-12-29 16:40:28,374 | INFO | All checks passed!
2025-12-29 16:40:28,374 | INFO | Next check in 120s...
2025-12-29 16:42:28,474 | INFO | ==================================================
2025-12-29 16:42:28,474 | INFO | Running health checks...
2025-12-29 16:42:28,474 | INFO | Checking file structure...
2025-12-29 16:42:28,479 | INFO | Running TypeScript check...
2025-12-29 16:42:32,197 | INFO | Running lint check...
2025-12-29 16:42:36,192 | INFO | Running build check...
2025-12-29 16:42:49,751 | INFO |   ✓ structure: Structure OK (1131 summaries)
2025-12-29 16:42:49,751 | INFO |   ✓ typescript: TypeScript OK
2025-12-29 16:42:49,751 | INFO |   ✓ lint: Lint OK
2025-12-29 16:42:49,751 | INFO |   ✓ build: Build OK
2025-12-29 16:42:49,751 | INFO | All checks passed!
2025-12-29 16:42:49,751 | INFO | Next check in 120s...
2025-12-29 16:44:49,851 | INFO | ==================================================
2025-12-29 16:44:49,851 | INFO | Running health checks...
2025-12-29 16:44:49,852 | INFO | Checking file structure...
2025-12-29 16:44:49,855 | INFO | Running TypeScript check...
2025-12-29 16:44:51,420 | INFO | Running lint check...
2025-12-29 16:44:55,691 | INFO | Running build check...
2025-12-29 16:45:10,233 | INFO |   ✓ structure: Structure OK (1131 summaries)
2025-12-29 16:45:10,233 | INFO |   ✓ typescript: TypeScript OK
2025-12-29 16:45:10,233 | INFO |   ✓ lint: Lint OK
2025-12-29 16:45:10,233 | INFO |   ✓ build: Build OK
2025-12-29 16:45:10,233 | INFO | All checks passed!
2025-12-29 16:45:10,233 | INFO | Next check in 120s...
2025-12-29 16:47:10,332 | INFO | ==================================================
2025-12-29 16:47:10,333 | INFO | Running health checks...
2025-12-29 16:47:10,333 | INFO | Checking file structure...
2025-12-29 16:47:10,337 | INFO | Running TypeScript check...
2025-12-29 16:47:11,733 | INFO | Running lint check...
2025-12-29 16:47:15,730 | INFO | Running build check...
2025-12-29 16:47:29,563 | INFO |   ✓ structure: Structure OK (1131 summaries)
2025-12-29 16:47:29,563 | INFO |   ✓ typescript: TypeScript OK
2025-12-29 16:47:29,563 | INFO |   ✓ lint: Lint OK
2025-12-29 16:47:29,563 | INFO |   ✓ build: Build OK
2025-12-29 16:47:29,563 | INFO | All checks passed!
2025-12-29 16:47:29,563 | INFO | Next check in 120s...
2025-12-29 16:49:29,662 | INFO | ==================================================
2025-12-29 16:49:29,662 | INFO | Running health checks...
2025-12-29 16:49:29,664 | INFO | Checking file structure...
2025-12-29 16:49:29,673 | INFO | Running TypeScript check...
2025-12-29 16:49:33,044 | INFO | Running lint check...
2025-12-29 16:49:38,431 | INFO | Running build check...
2025-12-29 16:49:40,277 | INFO |   ✓ structure: Structure OK (1131 summaries)
2025-12-29 16:49:40,277 | INFO |   ✓ typescript: TypeScript OK
2025-12-29 16:49:40,277 | INFO |   ✓ lint: Lint OK
2025-12-29 16:49:40,277 | INFO |   ✗ build: Build failed:

> bible-study-app@0.1.0 build
> next build --webpack

⚠ Warning: Next.js inferred you
2025-12-29 16:49:40,277 | INFO | Attempting to fix build issue...
2025-12-29 16:49:40,277 | INFO | Attempting to fix build issue...
2025-12-29 16:50:49,560 | INFO | Claude completed fix attempt for build
2025-12-29 16:50:49,560 | INFO | Fix attempted for build
2025-12-29 16:50:49,561 | INFO | Next check in 120s...
2025-12-29 16:52:49,660 | INFO | ==================================================
2025-12-29 16:52:49,660 | INFO | Running health checks...
2025-12-29 16:52:49,660 | INFO | Checking file structure...
2025-12-29 16:52:49,664 | INFO | Running TypeScript check...
2025-12-29 16:52:51,034 | INFO | Running lint check...
2025-12-29 16:52:54,433 | INFO | Running build check...
2025-12-29 16:53:07,734 | INFO |   ✓ structure: Structure OK (1131 summaries)
2025-12-29 16:53:07,734 | INFO |   ✓ typescript: TypeScript OK
2025-12-29 16:53:07,734 | INFO |   ✓ lint: Lint OK
2025-12-29 16:53:07,734 | INFO |   ✓ build: Build OK
2025-12-29 16:53:07,734 | INFO | All checks passed!
2025-12-29 16:53:07,734 | INFO | Next check in 120s...
2025-12-29 16:55:07,833 | INFO | ==================================================
2025-12-29 16:55:07,833 | INFO | Running health checks...
2025-12-29 16:55:07,834 | INFO | Checking file structure...
2025-12-29 16:55:07,838 | INFO | Running TypeScript check...
2025-12-29 16:55:09,342 | INFO | Running lint check...
2025-12-29 16:55:13,190 | INFO | Running build check...
2025-12-29 16:55:26,295 | INFO |   ✓ structure: Structure OK (1131 summaries)
2025-12-29 16:55:26,295 | INFO |   ✓ typescript: TypeScript OK
2025-12-29 16:55:26,295 | INFO |   ✓ lint: Lint OK
2025-12-29 16:55:26,295 | INFO |   ✓ build: Build OK
2025-12-29 16:55:26,295 | INFO | All checks passed!
2025-12-29 16:55:26,295 | INFO | Next check in 120s...
2025-12-29 16:57:26,396 | INFO | ==================================================
2025-12-29 16:57:26,396 | INFO | Running health checks...
2025-12-29 16:57:26,397 | INFO | Checking file structure...
